Gemeinde,Verwaltungskreis,Disparitätenabbau,Mindestausstattung,Pauschale Abgeltung,Geo-topo Zuschuss,Sozio-demo Zuschuss
Ligerz,Biel/Bienne,-95668.7379148507,0,0,0,3278
Merzligen,Seeland,24011.8659160891,0,0,7823,1662
Mörigen,Biel/Bienne,-542374.234570982,0,0,0,3715
Nidau,Biel/Bienne,831676.889680025,0,0,0,129756
Orpund,Biel/Bienne,423461.257702704,0,0,0,32201
Port,Biel/Bienne,-230604.381267687,0,0,0,33666
Safnern,Biel/Bienne,190101.687142912,0,0,0,9534
Scheuren,Biel/Bienne,110762.330079413,40827,0,17436,2432
Schwadernau,Biel/Bienne,101045.318906819,0,0,11750,4162
Studen,Seeland,-65955.2744719019,0,0,0,31709
Sutz-Lattrigen,Biel/Bienne,-59215.9826615346,0,0,0,8300
Täuffelen,Seeland,117017.142975071,0,0,0,16598
Walperswil,Seeland,207799.821335807,45290,0,51526,4310
Worben,Seeland,488115.393959964,63259,0,0,21131
Twann-Tüscherz,Biel/Bienne,55822.5073576135,0,0,167661,10062
Corgémont,Jura bernois,278920.793835014,0,0,143897,18202
Cormoret,Jura bernois,150878.811790454,87176,0,130838,4156
Cortébert,Jura bernois,226091.252715977,148582,0,157274,8130
Courtelary,Jura bernois,279886.633351377,47151,0,194274,17079
La Ferrière,Jura bernois,171191.893914634,109552,0,139167,5189
La Heutte,Jura bernois,17644.6660193177,0,0,74671,5099
Mont-Tramelan,Jura bernois,49376.8670128245,43183,0,48300,602
Orvin,Jura bernois,304701.3069762,115954,0,134229,10640
Péry,Jura bernois,-335849.139547829,0,0,115879,15313
Plagne,Jura bernois,80847.0340924802,15881,0,40242,2604
Renan,Jura bernois,267351.21876128,172455,0,142116,10045
Romont,Jura bernois,35197.8722622625,0,0,136011,1114
Saint-Imier,Jura bernois,-242618.306449879,0,0,0,94744
Sonceboz-Sombeval,Jura bernois,212153.57378736,0,0,20586,22209
Sonvilier,Jura bernois,445327.896371325,364698,0,319431,13444
Tramelan,Jura bernois,1140696.16805869,512086,0,0,54222
Vauffelin,Jura bernois,88344.5848310253,9042,0,50950,6443
Villeret,Jura bernois,-54063.2286969493,0,0,113349,11264
Belprahon,Jura bernois,29925.1251617722,0,0,12505,2100
Bévilard,Jura bernois,586051.71030443,426965,0,0,24205
Champoz,Jura bernois,43401.2265212045,5057,0,130857,693
Châtelat,Jura bernois,58526.1330824959,60778,0,32778,764
Corcelles,Jura bernois,79768.3275997255,62890,0,62356,1086
Court,Jura bernois,259470.555780022,0,0,301205,12427
Crémines,Jura bernois,160869.352923891,90071,0,95307,5179
Eschert,Jura bernois,112134.489747495,63553,0,52038,4302
Grandval,Jura bernois,137799.104104528,118007,0,113026,3693
Loveresse,Jura bernois,88459.6604332551,45312,0,37374,2189
Malleray,Jura bernois,633056.672963419,412559,0,0,32618
Monible,Jura bernois,16226.1991616571,13962,0,32696,34
Moutier,Jura bernois,1755366.29721282,475689,0,0,133584
Perrefitte,Jura bernois,104158.479746891,16587,0,51713,4632
